year,city,regionid,province,provincecode,envirct04,envirct06,envirct09,eect01,eect02,eect04,fict03,gdpct01,gdpct02,gdpct03,gdpct04,gdp_percapita,eicct01,averagetemperature,averagerelativehumidity,precipitation,sunshinehours,ccnl2s,e2s,egdp2s,hdmsp2s,hviirs2s,panda2s,viirs2s,vl2s,e2m,egdp2m,ccnl2m,hdmsp2m,hviirs2m,panda2m,viirs2m,vl2m
1992,大兴安岭地区,232700,黑龙江省,230000,,,,52.0452,44.187401,,,16.99,6.3000002,67.599998,26.1,,,,,,,9251.6094,3280903940,8554.4629,19644.984,,-5377811,,,50162.8407,0.12958266,0.085718296,11.356615,,-42.879395,,
1992,安庆市,340800,安徽省,340000,,,,578.11761,72.850403,376,,,,,,,,,,,,6399.6372,1576671516,5120.9019,13496.694,,1215695.9,,,125695.5318,0.3784273,0.40717056,6.5446296,,66.560028,,
1992,蚌埠市,340300,安徽省,340000,,,,306.05389,66.7379,525,,,,,,,,,,,,6441.7788,1504583775,4782.6758,12756.317,,1463520.8,,,290901.3082,0.79923606,0.90170223,8.0462189,,176.28506,,
1992,亳州市,341600,安徽省,340000,,,,,,578,,,,,,,,,,,,3764.6492,1118308047,3965.042,8077.9766,,939547.44,,,147023.8068,0.46383843,0.36750302,7.1698513,,78.927452,,
1992,池州市,341700,安徽省,340000,,,,148.99139,16.0259,,,,,,,,,,,,,1935.4243,689935216.9,2141.2239,4224.3057,,268333.63,,,85077.59026,0.25418517,0.19839589,5.5240922,,23.670609,,
1992,滁州市,341100,安徽省,340000,,,,41.4487,13.5279,,,,,,,,,,,,,11562.503,2127270210,7504.6089,23139.141,,2070324.8,,,180515.7244,0.55370128,0.71911651,6.0209174,,110.80547,,
1992,阜阳市,341200,安徽省,340000,,,,25.7477,19.7661,,,,,,,,,,,,,8196.167,1755964756,6187.3213,16503.227,,1614997.1,,,206808.6922,0.60980248,0.67811906,6.1553626,,114.98143,,
1992,合肥市,340100,安徽省,340000,,,,392.16241,108.0068,540,,,,,,,,,,,,20003.334,4457913750,14548.876,37244.063,,3785000.5,,,439622.3528,1.2642345,1.4779054,8.8792238,,240.65106,,
1992,淮北市,340600,安徽省,340000,,,,188.18359,53.929501,617,,,,,,,,,,,,7752.231,1206847018,3695.6333,13931.105,,1528319.4,,,518337.8436,1.3419778,2.3409681,9.3953581,,397.15823,,
1992,淮南市,340400,安徽省,340000,,,,186.4892,80.512901,879,,,,,,,,,,,,12557.155,1877690729,5736.9053,23359.639,,1600861.5,,,388023.3684,1.034379,1.9099588,8.9384098,,209.54459,,
1992,黄山市,341000,安徽省,340000,,,,143.98579,23.5086,147,,,,,,,,,,,,1849.3035,875200326.6,2785.085,4150.1885,,678330.06,,,93044.85363,0.28696647,0.1651756,5.8696179,,52.137619,,
1992,六安市,341500,安徽省,340000,,,,626.651,71.924797,,,,,,,,,,,,,4645.3745,1584434403,5275.9067,9689.8545,,899419.63,,,108051.3442,0.34080237,0.25540876,6.3420324,,42.555908,,
1992,马鞍山市,340500,安徽省,340000,,,,109.9657,43.8568,653,,,,,,,,,,,,12256.445,1941909251,6016.4907,22502.354,,1578300.4,,,561416.6158,1.4820861,2.5705526,8.0977297,,284.8609,,
1992,宿州市,341300,安徽省,340000,,,,28.2665,17.2265,,,,,,,,,,,,,6917.5376,1588997920,5364.3711,14373.835,,1376843.8,,,185623.4548,0.53911638,0.5772683,6.3814864,,98.883224,,
