citycode,cons_gdp_ratio,ln_avg_wage,hospital_beds_per10k,ln_gdp_per_capita,gdp_growth,pop_density,invest_gdp_ratio,ln_edu_exp_pc,univ_students_per10k,secondary_gdp_ratio,tertiary_gdp_ratio,rd_intensity,invpat_grant_per10k,unemployment_rate,ln_employed_population,medical_insurance_coverage,ln_gdp_pc_c_sq,ln_avg_wage_c_sq,overwork2019,intensityw
110000,.42664683,11.680232,81.898605,11.638322,7.2283335,811.33331,.34064507,8.7498035,438.82709,.20045,.79369998,.056386027,34.028183,.0062775658,7.2568312,1.1301999,.76817524,.46531698,16.982765,1.7804588
120000,.30807403,11.374264,57.406654,11.617599,7.8416667,852.33331,.73591733,8.4344511,491.81787,.45054999,.53791666,.025454059,5.3826723,.023239732,6.2080517,.59646183,.71730137,.14472054,14.320941,1.6850969
130100,.48207664,10.957914,47.109268,10.871033,7.54,734.33331,.95227683,7.2833986,417.7832,.44674,.46608001,.020761471,1.4513729,.0052400101,5.2362962,.16663457,.013640213,.038800962,13.586745,.53820509
130200,.35273921,10.979837,48.863686,11.317392,5.8460002,552.33331,.69440299,7.3719754,156.23145,.56308001,.34922001,.01423151,.90075397,.0075918101,4.9159346,.22434665,.29705417,.023713913,14.390833,.77761579
130300,.49526653,11.006867,50.070564,10.77477,5.336,377.33334,.6665476,7.2956281,528.09937,.35838002,.50084001,.010977291,1.9060738,.0086255418,3.9815779,.2303236,.048896063,.024320733,12.472531,.60579067
130400,.43905699,10.803484,37.287064,10.434116,5.4240003,849,1.0239329,6.8929181,61.854591,.48190001,.39736,.009106026,.30779672,.0056580072,5.1397281,.10986165,.11828876,.075033903,11.880045,.39853749
130500,.49340481,10.812376,36.947845,10.137948,6.1659999,621,.98592627,6.8587599,62.759644,.46468002,.38714001,.0052965488,.23685737,.0025753761,4.5413313,.1040925,.41832748,.074103035,11.936115,.52177191
130600,.51332426,10.860277,35.57785,10.255681,6.928,546,.77181453,6.8878937,162.00592,.49287999,.37819999,.021420382,.71461421,.0040848111,4.9952989,.10710508,.27392218,.060139891,12.312548,.56328082
130700,.46005756,10.82636,42.647915,10.358786,6.46,127,1.0644208,7.23417,92.708786,.39172003,.43460003,.0036068233,.22795698,.0079883337,4.1015501,.16150607,.17630133,.091285355,15.107197,.58739525
130800,.3701418,10.856901,45.146862,10.567926,6.8800001,96,1.0563877,7.3381181,113.26086,.45991999,.36952001,.0061769807,.20475337,.0053515015,3.9560513,.14021814,.04748182,.049786974,13.459426,.50636703
130900,.34284732,10.943944,40.569252,10.71864,7.4260001,545,.88706738,7.153873,85.569199,.49278,.4145,.0063784043,.28188992,.0030108807,4.5344467,.095526919,.008117334,.03806968,12.390392,.74252516
131000,.33129123,11.105678,38.649807,10.92062,7.9580002,696.66669,.79384434,7.3973527,253.45418,.45180002,.46483999,.0014134294,.9076795,.0022819142,4.4661283,.15053965,.037122883,.044328406,12.519423,1.1732225
131100,.48593467,10.789783,36.565071,10.290492,7.2719998,511,.82863337,6.9178925,45.999973,.46854001,.39166,.0071056047,.32315576,.0051347469,4.0978179,.093029872,.25350183,.085822232,12.036097,.39605615
140100,.53670251,11.063435,96.418121,11.152523,6.658,527,.7022177,7.4685555,1133.5325,.38813999,.59816003,.073074199,4.6449866,.013275277,5.2065706,.53294796,.16155589,.024493992,14.796627,.68523252
140200,.54904187,10.958591,50.956306,10.353687,5.6139998,233.66667,1.1028407,7.3124609,88.187546,.41274002,.53196001,.008360845,1.4638364,.015645321,4.3089108,.28105992,.18308255,.0076702065,13.669555,.58333331
140300,.46385905,10.841501,49.667408,10.739026,3.2079999,290,.88227618,7.3307691,108.01957,.51440006,.46908,.0052419398,.23106059,.0066260863,3.7569985,.32079071,.0052481331,.041769188,12.522968,.32155478
