year,city,regionid,province,provincecode,envirct04,envirct06,envirct09,eect01,eect02,eect04,fict03,gdpct01,gdpct02,gdpct03,gdpct04,gdp_percapita,eicct01,averagetemperature,averagerelativehumidity,precipitation,sunshinehours,ccnl2s,e2s,egdp2s,hdmsp2s,hviirs2s,panda2s,viirs2s,vl2s,e2m,egdp2m,ccnl2m,hdmsp2m,hviirs2m,panda2m,viirs2m,vl2m,citycode_x,ratio,ratioW,citycode_y,intensity,intensityW,RegionCode,年份,省份,城市,省份代码,城市代码,所属地域,胡焕庸线,地区生产总值(万元),第一产业增加值(万元),第二产业增加值(万元),第三产业增加值(万元),第一产业增加值占GDP比重(%),第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),人均地区生产总值(元),户籍人口(万人),城镇户籍人口(万人),非农业人口数(万人),年平均人口(万人),年末总户数(万户),出生人口(人),死亡人口(人),自然增长率(‰),常住人口(万人),城镇常住人口(万人),常住人口城镇化率(%),城镇非私营单位从业人员数(万人),城镇私营和个体从业人员数(人),年末城镇登记失业人员数(人),第一产业从业人员数(万人),第二产业从业人员数(万人),第三产业从业人员数(万人),第一产业从业人员比重(%),第二产业从业人员比重(%),第三产业从业人员比重(%),农林牧渔业从业人员数(万人),采掘业从业人员数(万人),制造业从业人员数(万人),电力煤气及水生产供应业从业人员数(万人),建筑业从业人员数(万人),交通仓储邮电业从业人员数(万人),信息传输、计算机服务和软件业从业人员数(万人),批发零售贸易业从业人员数(万人),住宿餐饮业从业人员数(万人),金融业从业人员数(万人),房地产业从业人员数(万人),租赁和商业服务业从业人员数(万人),科研、技术服务和地质勘查业从业人员数(万人),水利、环境和公共设施管理业从业人员数(万人),居民服务和其他服务业从业人员数(万人),教育业从业人员数(万人),卫生、社会保险和社会福利业从业人员数(万人),文化、体育和娱乐业从业人员数(万人),公共管理和社会组织从业人员数(万人),地质勘察水利管理业从业人数(万人),交通仓储邮电通信业从业人员数(万人),批发零售贸易餐饮业从业人员数(万人),社会服务业从业人员数(万人),卫生体育社会福利业从业人员数(万人),教育文艺广播影视业从业人员数(万人),科研综合技术服务业从业人员数(万人),机关和社会团体从业人员数(万人),城镇非私营单位在岗职工平均人数(万人),城镇非私营单位在岗职工工资总额(万元),城镇非私营单位在岗职工平均工资(元),行政区域土地面积(平方公里),年末耕地总资源(千公顷),人均占有耕地面积(亩),人口密度(人／平方公里),水资源总量(万立方米),用水总量(亿立方米),地区生产总值增长率(%),规模以上服务业营业收入(万元),规模以上服务业营业收入增速(%),粮食产量(万吨),油料产量(万吨),棉花产量(万吨),蔬菜产量(吨),水果产量(吨),肉类产量(吨),奶类产量(吨),水产品产量(吨),禽蛋产量(吨),规模以上工业企业数(个),内资企业数(个),港、澳、台商投资企业数(个),外商投资企业数(个),规模以上工业总产值(当年价)(万元),内资企业工业总产值(万元),港、澳、台商投资企业工业总产值(万元),外商投资企业工业总产值(万元),从业人员年平均人数(万人),规模以上工业企业产品销售收入(万元),规模以上工业企业利税总额(万元),本年应交增值税(万元),规模以上工业企业利润总额(万元),流动资产年平均余额(万元),固定资产净值年平均余额(万元),规模以上工业企业资产总计(万元),规模以上工业企业流动资产合计(万元),规模以上工业企业固定资产合计(万元),规模以上工业企业主营业务税金及附加(万元),规模以上工业营业收入(万元),规模以上工业营业收入增速(%),固定资产投资总额(万元),房地产开发投资完成额(万元),住宅开发投资完成额(万元),社会消费品零售总额(万元),限额以上单位商品零售额(万元),限额以上批发零售业商品销售总额(万元),限额以上批发零售业法人企业数(个),当年新签项目(合同)个数(个),当年合同外资金额(万美元),当年实际使用外资金额(万美元),货物进口额(万元),货物出口额(万元),地方财政一般预算内收入(万元),工商税收(万元),地方财政一般预算内支出(万元),科学支出(万元),教育支出(万元),年末金融机构各项贷款余额(万元),年末金融机构存款余额(万元),城乡居民储蓄年末余额(万元),普通高等学校学校数(所),普通中学学校数(所),小学学校数(所),中等职业教育学校数(所),普通高等学校专任教师数(人),普通中学专任教师数(人),小学专任教师数(人),中等职业教育学校专任教师数(人),普通高等学校在校学生数(人),普通中学在校学生数(万人),小学在校学生数(万人),高中阶段在校学生数(人),初中阶段学生数(万人),普通高中学生数(万人),学前教育学生数(人),中等职业教育学校在校学生数(人),成人高等学校在校学生数(人),每万人在校大学生数(人),每万人在校中等职业学生数(人),R&D人员(人),R&D内部经费支出(万元),专利申请数(件),专利授权数(件),发明专利授权数(件),高新技术企业数(国家级)(个),技术合同成交额(万元),公共图书馆(个),剧场、影剧院数(个),公共图书馆图书总藏量(千册、件),每百人公共图书馆藏书(册、件),博物馆数(个),体育场馆数(个),卫生机构数(个),医院、卫生院数(个),医院、卫生院床位数(张),执业(助理)医师数(人),客运总量(万人),铁路旅客运量(万人),公路客运量(万人),水运客运量(万人),民用航空客运量(人),城市公共交通客运总量(万人次),客运量(公路+水路)(万人次),货运总量(万吨),铁路货物运量(万吨),公路货运量(万吨),水运货运量(万吨),民用航空货邮运量(吨),货运量(公路+水路)(万吨),年末邮政局(所)数(处),邮政业务收入(万元),电信业务收入(万元),本地电话年末用户数(万户),移动电话年末用户数(万户),国际互联网用户数(户),全年用电量(万千瓦时),工业用电(万千瓦时),城乡居民生活用电量(万千瓦时),城镇居民生活用电量(万千瓦时),境内公路总里程(公里),高速公路里程(公里),工业废水排放量(万吨),工业废水排放达标量(万吨),工业二氧化硫去除量(吨),工业二氧化硫排放量(吨),工业烟尘去除量(吨),工业烟尘排放量(吨),工业二氧化硫产生量(吨),工业烟粉尘去除量(吨),工业烟粉尘排放量(吨),工业氮氧化物排放量(吨),工业颗粒物排放量(吨),工业化学需氧量排放量(吨),工业氨氮排放量(吨),生活污水处理率(%),生活垃圾无害化处理率(%),工业固体废物综合利用率(%),一般工业固体废物综合利用率(%),污水处理厂集中处理率(%),细颗粒物(PM2.5)年平均浓度(微克/立方米),空气质量优良天数比例(%),保险业承保额(万元),城镇职工基本养老保险参保人数(人),职工基本医疗保险参保人数(人),失业保险参保人数(人),提供住宿的社会工作机构数(个),养老机构数(个),提供住宿的社会工作机构床位数(张),养老机构床位数(张),Unnamed: 213
2013,大兴安岭地区,232700,黑龙江省,230000,,,,50.799999,43.900002,,2700,162.32091,41.561199,19.895,38.5438,23862,1064875,,,,,23239.895,8092975529,26549.014,35904.805,18547.148,-3812775.3,5089.940183,851.31647,122623.7558,0.40216342,0.21532299,14.130252,7.7797036,-30.400751,0.010145693,0.001971879,232700,41.18303571,19.64732143,232700,2.544642857,1.183035714,232700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,安庆市,340800,安徽省,340000,4863,,,621.66229,113.1631,406,45178,1418.24,15,53.200001,31.799999,26596,11857153,,,,,50446.086,6845358119,23455.611,76975.961,102735.54,5602073.5,21075.8519,13991.269,506388.8205,1.733336,3.2095821,14.498224,8.6615391,306.71664,0.288472626,0.22253343,340800,36.23434992,15.94101124,340800,1.757624398,0.644863563,340800,2013,安徽省,安庆市,340000,340800,中部,东南侧,14182282,2020975,7536465,4624842,14.25,53.14,32.61,22801,621.7,,,621.1,,,,4.3,,,,35,354076,25309,1.62,13.89,19.4,5,40,56,2,0,9,1,4,1,0,1,0,1,1,0,0,1,0,6,2,0,4,,,,,,,,,35,1364365,39330,15318,,,406,,,4.3,,,247.61,29.47,9.354,1503900,37900,323600,100,367327,190800,1673,1621,20,32,25744428,24735073,558479,450876,,,,637694,1866835,,,,6232112,5816470,599959,,,11857153,1497996,1070954,5235890,,2011627,407,10,,45178,,,984572,,2797223,55834,571349,10673357,19756834,12524624,5,367,1369,48,2209,24851,21142,5765,40896,33.04,31.91,262735,,,,115389,4895,423,186,,,,,,,,10,25,3837,62,,,2508,213,17056,8313,10321,490,9803,16,120000,,,30001,256,28229,1516,,,181,41783,267917,95,345,520000,,,,,,,4863,,,17168,,,114980,1481993,25300,,,,,,97,,97,86,,,,572553,434489,235732,,,,,
2013,蚌埠市,340300,安徽省,340000,4172,,,366.60281,102.4519,616,96830,1007.85,17.1,51.200001,31.700001,31482,10608899,,,,,41752.766,6296164659,21751.426,62763.91,83070.664,5091829.5,29786.3486,21795.012,1054080.716,3.6348948,5.8444357,15.640132,10.464244,613.32477,0.896952341,0.76262993,340300,41.63412921,20.93609551,340300,3.068820225,1.31741573,340300,2013,安徽省,蚌埠市,340000,340300,中部,东南侧,10078541,1723431,5157189,3197921,17.1,51.17,31.73,27462,366.6,,,367.2,,,,10.1,,,,26,281907,17096,0.03,12.07,13.89,0,46,53,0,,6,1,6,1,0,1,0,1,1,0,1,1,0,3,2,0,2,,,,,,,,,26,1082067,42434,5952,,,616,,,13.21,,,263.6,37.91,2.147,2513000,78400,316200,35700,115818,72100,738,705,18,15,18226159,17075569,877597,272993,,,,277570,620634,,,,5035084,3041264,524388,,,10608899,3253221,2141286,4248198,,3128569,275,8,,101262,,,928392,,1914991,72384,339008,8101820,12585817,6042035,5,166,730,26,3023,11399,12323,1954,63230,17.2,22.11,121333,,,,60028,26838,331,164,,,,,,,,4,7,1068,29,,,1428,134,15353,5487,18733,701,18032,,,,,26332,132,19405,6795,,,83,19001,206793,53,228,370000,,,,,,,4172,,,16970,,,53486,100467,12642,,,,,,71,,99,92,,,,514125,446874,212813,,,,,
2013,亳州市,341600,安徽省,340000,2055,,,632.9151,67.455704,756,47383,791.09003,24.6,40.5,34.900002,16071,5414925,,,,,48405.813,5316276883,19085.947,78081.633,104455.79,6661034,23674.39511,14548.969,621907.429,2.2327118,4.7253494,11.003752,8.865922,559.56561,0.497187894,0.35505608,341600,40.06147368,25.00252632,341600,2.071578947,1.197473684,341600,2013,安徽省,亳州市,340000,341600,中部,东南侧,7910950,1950049,3200770,2760130,24.65,40.46,34.89,12498,632.9,,,627.9,,,,8.2,,,,22,418526,7802,0.02,7.23,14.84,0,33,67,0,1,4,0,2,1,0,1,0,1,0,0,0,1,0,5,2,0,3,,,,,,,,,16,816327,52396,8374,,,756,,,10.54,,,447.45,4.84,1.915,2750500,50700,309300,14700,50550,67400,657,650,2,5,7436469,7376547,25070,34852,,,,233904,826626,,,,2137166,2099416,120381,,,5414925,1490738,854182,3450943,,1197055,304,6,,47783,,,643813,,2064319,15129,380724,5216455,9275747,6391634,2,291,1305,28,716,16627,24308,3761,11821,25.95,46.42,151202,,,,70973,11520,239,112,,,,,,,,5,11,403,6,,,1625,131,13063,4470,9422,213,9209,,,,,19101,141,17699,1261,,,82,32300,211727,39,307,300000,,,,,,,2055,,,12051,,,13580,38402,6312,,,,,,100,,100,90,,,,167478,194635,150768,,,,,
2013,池州市,341700,安徽省,340000,2174,,,161.9147,29.551701,196,26208,462.25,14.6,48.799999,36.599998,32541,4614756,,,,,22747.977,3018419423,10037.469,35850.852,52439.293,3058775.3,10029.24787,6342.2617,358615.4012,1.1915501,2.3318429,13.321705,8.3993092,269.8248,0.221172357,0.16252913,341700,34.66823308,16.06203008,341700,1.268796992,0.462406015,341700,2013,安徽省,池州市,340000,341700,中部,东南侧,4622452,673954,2255757,1692742,14.58,48.8,36.62,28534,161.9,,,161.9,,,,1.2,,,,11,196850,7314,0.09,4.04,6.55,1,38,61,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,2,,,,,,,,,10,440153,41999,8272,,,196,,,10.73,,,65.22,9.66,3.248,368600,6900,85800,,126018,36700,466,448,7,11,5529092,5299401,81175,148516,,,,175832,527417,,,,1881887,2232768,33140,,,4614756,1056746,662418,1424834,,1038620,155,13,,26208,,,651393,,1306761,17887,190923,4003940,5960107,3719628,3,106,315,10,1275,6103,5809,1808,21359,8.81,9.06,68614,,,,29246,2614,424,181,,,,,,,,4,7,394,24,,,1054,88,5255,2869,7503,46,7451,,60000,,,9056,6,8272,778,,,72,11696,88924,28,104,180000,,,,,,,2174,,,15883,,,93886,866657,12030,,,,,,73,,100,91,,,,106241,133524,70866,,,,,
2013,滁州市,341100,安徽省,340000,6460,,,449.4527,99.135803,333,72596,1086.14,19.200001,53,27.799999,27474,10757835,,,,,86795.664,10972180950,38151.156,133222.72,162544.41,11018029,48079.42659,33552.129,809666.7094,2.8148494,5.3981562,13.961897,9.8656788,589.69391,0.643303334,0.52167696,341100,39.0752,19.0636,341100,1.928,0.8948,341100,2013,安徽省,滁州市,340000,341100,中部,东南侧,10861431,2082136,5756558,3023822,19.17,53,27.84,24190,449.5,,,450.8,,,,6,,,,22,597965,10975,0.72,8.6,13.16,3,38,59,1,0,7,0,1,1,0,1,0,1,0,0,0,1,0,4,2,0,3,,,,,,,,,22,1007916,45198,13516,,,333,,,11.89,,,413.83,20.62,0.921,1391600,69200,379300,10400,317089,110500,1253,1174,24,55,20029371,17510969,979610,1538792,,,,632504,2194585,,,,6824061,5528664,268188,,,10757835,2616911,1687182,3384770,,3124467,419,19,,72596,,,1144231,,2508733,34755,402383,8926828,12846969,7120398,4,287,431,26,2217,16119,15331,2270,43735,22.12,24.36,144072,,,,64619,11836,321,144,,,,,,,,9,2,722,16,,,1645,157,13730,5813,19841,,19841,,,,,16817,,15893,924,,,156,16969,258305,66,273,430000,,,,,,,6460,,,18522,,,30199,1186099,36995,,,,,,93,,97,96,,,,437867,392473,212334,,,,,
2013,阜阳市,341200,安徽省,340000,2820,,,1053.2352,134.9005,1077,13134,1062.48,25.6,41.099998,33.299999,13839,6452575,,,,,74862.016,8458322652,30167.443,115799.89,132151.03,9939408,35828.67241,23042.119,833622.4747,2.973206,6.1937923,11.661685,9.4925308,707.64667,0.637683141,0.47656262,341200,37.90638528,23.58198052,341200,1.636904762,0.836850649,341200,2013,安徽省,阜阳市,340000,341200,中部,东南侧,10624758,2725250,4365713,3532732,25.65,41.09,33.25,10090,1053.2,,,1046.5,,,,11.1,,,,29,450379,6090,0.21,8.92,20.13,1,30,69,0,1,4,1,3,2,0,2,0,2,0,0,0,0,0,7,3,0,5,,,,,,,,,31,1207131,39475,9776,,,1077,,,10.39,,,526.11,7.82,1.601,4997500,82700,610400,4500,96313,140200,897,873,12,12,13065466,12655984,19269,390213,,,,589524,717862,,,,3489442,3482700,320354,,,6452575,1404760,993131,5080164,,7898736,404,8,,13433,,,854566,,3126496,19028,601916,7845679,17491358,12167753,4,461,2111,56,1818,26135,35621,3361,35361,44.32,72.67,263359,,,,116927,9125,250,111,,,,,,,,7,6,569,5,,,2628,252,25523,10254,30537,970,29531,,360000,,,38424,,33170,5254,,,171,50162,313104,70,422,1950000,,,,,,,2820,,,18267,,,55829,1352850,12812,,,,,,79,,100,85,,,,335359,361044,250022,,,,,
2013,合肥市,340100,安徽省,340000,6018,,,711.5047,267.75421,622,189021,4672.9102,5.3000002,55.299999,39.400002,61555,45353715,17,76,893.20001,1971.4,126671.27,20509552810,71831.945,181149.22,201215,14466323,130147.8442,104823.09,1782201.406,6.2418866,9.3588476,18.383121,13.750057,919.77161,2.068612527,1.9360732,340100,38.99729312,21.2587007,340100,2.092034029,1.079273009,340100,2013,安徽省,合肥市,340000,340100,中部,东南侧,46729100,2471969,25836519,18420611,5.29,55.29,39.42,65631,711.5,,,711,,,,4.2,,,,144,1280000,107686,0.1,88.67,55.73,0,61,39,0,0,34,3,52,6,2,8,2,4,3,3,3,1,0,10,5,1,7,,,,,,,,,143,7747263,54211,11445,,,622,,,12.21,,,299.68,32.13,3.248,1812100,155000,475000,113800,227017,194500,2334,2144,70,120,75265754,58392303,5999889,10873562,,,,2228485,4988691,,,,26445697,16875612,870091,,,46854411,11058109,6743458,14808408,,38557655,899,84,,191785,,,4386226,,6308509,260165,1044694,70549939,82325791,23557723,50,367,894,84,23630,29085,21563,3753,443401,37.93,42.69,292184,,,,137126,119614,411,193,,,,,,,,8,41,4327,61,,,2207,481,37739,16353,40107,2623,37147,23,3140000,,,39131,150,36703,2276,20000,,177,62194,798399,177,703,1030000,,,,,,,6018,,,41483,,,123335,4770975,42387,,,,,,100,,93,87,,,,1358683,1420634,1050519,,,,,
2013,淮北市,340600,安徽省,340000,2520,,,214.50211,92.191704,783,45934,703.65997,8.1000004,67.199997,24.700001,32996,7005287,,,,,35403.316,4537835314,15557.17,53180.633,56505.539,4082632.3,27312.81467,17729.961,1647830.831,5.6492019,10.690863,15.647282,14.683972,1060.9373,1.774369993,1.3385041,340600,45.06809079,23.5046729,340600,4.566088117,2.516688919,340600,2013,安徽省,淮北市,340000,340600,中部,东南侧,7036634,553079,4715952,1768306,7.86,67.02,25.13,32729,214.5,,,216.4,,,,11.7,,,,29,284561,20941,,20.63,7.95,,72,28,,12,5,0,3,1,0,0,0,1,0,0,0,0,0,2,1,0,2,,,,,,,,,29,1503256,52378,2741,,,783,,,13.4,,,120.08,0.46,0.152,502400,90000,87900,11400,28230,53000,732,706,13,13,16374948,15554036,483216,337696,,,,583323,614638,,,,6098527,9772718,175599,,,7005287,1340086,909262,1954577,,1766834,210,3,,45934,,,506812,,1087215,13406,164168,6121091,8639085,4708413,3,134,350,15,1839,9041,8563,864,33165,12.68,14.38,51146,,,,31702,1758,238,148,,,,,,,,5,5,835,39,,,707,102,9526,3996,9741,506,9235,,,,,12491,4766,7725,,,,46,10878,120343,37,166,280000,,,,,,,2520,,,43581,,,74755,610694,23084,,,,,,100,,93,90,,,,389292,317003,250218,,,,,
2013,淮南市,340400,安徽省,340000,10686,,,243.289,111.6134,942,23914,819.39001,8.1000004,62,29.9,34897,8005251,,,,,50435.047,7356404024,24867.982,76246.695,88386.367,6013313,28583.70293,20658.281,1326863.898,4.4837623,7.6712327,17.304272,12.277409,787.11194,0.935337075,0.78553277,340400,42.09823322,20.65088339,340400,4.501766784,1.842402827,340400,2013,安徽省,淮南市,340000,340400,中部,东南侧,8193895,661247,5085131,2447516,8.07,62.06,29.87,33720,243.3,,,243.5,,,,9,,,,35,165629,29951,0.22,22.14,12.99,1,63,37,0,13,5,2,2,1,0,1,0,1,1,1,0,1,0,3,2,0,2,,,,,,,,,36,2086057,58597,2584,,,942,,,4.81,,,133.94,1.5,0.185,820700,35400,88800,50000,74877,65200,608,589,7,12,10755297,9965081,623330,166886,,,,548671,189168,,,,4756828,13790694,85280,,,8005251,1282077,835843,2912336,,2878235,293,3,,24662,,,1107341,,1686273,32914,225132,8791725,12098590,6515900,5,129,370,24,3078,9206,9289,1351,80692,11.5,14.25,79997,,,,36643,7725,329,151,,,,,,,,4,1,398,16,,,1202,109,10741,4918,8680,304,8376,,,,,15363,5286,8204,1873,,,66,11995,155735,47,157,320000,,,,,,,10686,,,60770,,,238897,8646126,22710,,,,,,89,,89,78,,,,324534,514771,292090,,,,,
