年份,省份,城市,省份代码,城市代码,所属地域,胡焕庸线,地区生产总值(万元),第一产业增加值(万元),第二产业增加值(万元),第三产业增加值(万元),第一产业增加值占GDP比重(%),第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),人均地区生产总值(元),户籍人口(万人),城镇户籍人口(万人),非农业人口数(万人),年平均人口(万人),年末总户数(万户),出生人口(人),死亡人口(人),自然增长率(‰),常住人口(万人),城镇常住人口(万人),常住人口城镇化率(%),城镇非私营单位从业人员数(万人),城镇私营和个体从业人员数(人),年末城镇登记失业人员数(人),第一产业从业人员数(万人),第二产业从业人员数(万人),第三产业从业人员数(万人),第一产业从业人员比重(%),第二产业从业人员比重(%),第三产业从业人员比重(%),农林牧渔业从业人员数(万人),采掘业从业人员数(万人),制造业从业人员数(万人),电力煤气及水生产供应业从业人员数(万人),建筑业从业人员数(万人),交通仓储邮电业从业人员数(万人),信息传输、计算机服务和软件业从业人员数(万人),批发零售贸易业从业人员数(万人),住宿餐饮业从业人员数(万人),金融业从业人员数(万人),房地产业从业人员数(万人),租赁和商业服务业从业人员数(万人),科研、技术服务和地质勘查业从业人员数(万人),水利、环境和公共设施管理业从业人员数(万人),居民服务和其他服务业从业人员数(万人),教育业从业人员数(万人),卫生、社会保险和社会福利业从业人员数(万人),文化、体育和娱乐业从业人员数(万人),公共管理和社会组织从业人员数(万人),地质勘察水利管理业从业人数(万人),交通仓储邮电通信业从业人员数(万人),批发零售贸易餐饮业从业人员数(万人),社会服务业从业人员数(万人),卫生体育社会福利业从业人员数(万人),教育文艺广播影视业从业人员数(万人),科研综合技术服务业从业人员数(万人),机关和社会团体从业人员数(万人),城镇非私营单位在岗职工平均人数(万人),城镇非私营单位在岗职工工资总额(万元),城镇非私营单位在岗职工平均工资(元),行政区域土地面积(平方公里),年末耕地总资源(千公顷),人均占有耕地面积(亩),人口密度(人／平方公里),水资源总量(万立方米),用水总量(亿立方米),地区生产总值增长率(%),规模以上服务业营业收入(万元),规模以上服务业营业收入增速(%),粮食产量(万吨),油料产量(万吨),棉花产量(万吨),蔬菜产量(吨),水果产量(吨),肉类产量(吨),奶类产量(吨),水产品产量(吨),禽蛋产量(吨),规模以上工业企业数(个),内资企业数(个),港、澳、台商投资企业数(个),外商投资企业数(个),规模以上工业总产值(当年价)(万元),内资企业工业总产值(万元),港、澳、台商投资企业工业总产值(万元),外商投资企业工业总产值(万元),从业人员年平均人数(万人),规模以上工业企业产品销售收入(万元),规模以上工业企业利税总额(万元),本年应交增值税(万元),规模以上工业企业利润总额(万元),流动资产年平均余额(万元),固定资产净值年平均余额(万元),规模以上工业企业资产总计(万元),规模以上工业企业流动资产合计(万元),规模以上工业企业固定资产合计(万元),规模以上工业企业主营业务税金及附加(万元),规模以上工业营业收入(万元),规模以上工业营业收入增速(%),固定资产投资总额(万元),房地产开发投资完成额(万元),住宅开发投资完成额(万元),社会消费品零售总额(万元),限额以上单位商品零售额(万元),限额以上批发零售业商品销售总额(万元),限额以上批发零售业法人企业数(个),当年新签项目(合同)个数(个),当年合同外资金额(万美元),当年实际使用外资金额(万美元),货物进口额(万元),货物出口额(万元),地方财政一般预算内收入(万元),工商税收(万元),地方财政一般预算内支出(万元),科学支出(万元),教育支出(万元),年末金融机构各项贷款余额(万元),年末金融机构存款余额(万元),城乡居民储蓄年末余额(万元),普通高等学校学校数(所),普通中学学校数(所),小学学校数(所),中等职业教育学校数(所),普通高等学校专任教师数(人),普通中学专任教师数(人),小学专任教师数(人),中等职业教育学校专任教师数(人),普通高等学校在校学生数(人),普通中学在校学生数(万人),小学在校学生数(万人),高中阶段在校学生数(人),初中阶段学生数(万人),普通高中学生数(万人),学前教育学生数(人),中等职业教育学校在校学生数(人),成人高等学校在校学生数(人),每万人在校大学生数(人),每万人在校中等职业学生数(人),R&D人员(人),R&D内部经费支出(万元),专利申请数(件),专利授权数(件),发明专利授权数(件),高新技术企业数(国家级)(个),技术合同成交额(万元),公共图书馆(个),剧场、影剧院数(个),公共图书馆图书总藏量(千册、件),每百人公共图书馆藏书(册、件),博物馆数(个),体育场馆数(个),卫生机构数(个),医院、卫生院数(个),医院、卫生院床位数(张),执业(助理)医师数(人),客运总量(万人),铁路旅客运量(万人),公路客运量(万人),水运客运量(万人),民用航空客运量(人),城市公共交通客运总量(万人次),客运量(公路+水路)(万人次),货运总量(万吨),铁路货物运量(万吨),公路货运量(万吨),水运货运量(万吨),民用航空货邮运量(吨),货运量(公路+水路)(万吨),年末邮政局(所)数(处),邮政业务收入(万元),电信业务收入(万元),本地电话年末用户数(万户),移动电话年末用户数(万户),国际互联网用户数(户),全年用电量(万千瓦时),工业用电(万千瓦时),城乡居民生活用电量(万千瓦时),城镇居民生活用电量(万千瓦时),境内公路总里程(公里),高速公路里程(公里),工业废水排放量(万吨),工业废水排放达标量(万吨),工业二氧化硫去除量(吨),工业二氧化硫排放量(吨),工业烟尘去除量(吨),工业烟尘排放量(吨),工业二氧化硫产生量(吨),工业烟粉尘去除量(吨),工业烟粉尘排放量(吨),工业氮氧化物排放量(吨),工业颗粒物排放量(吨),工业化学需氧量排放量(吨),工业氨氮排放量(吨),生活污水处理率(%),生活垃圾无害化处理率(%),工业固体废物综合利用率(%),一般工业固体废物综合利用率(%),污水处理厂集中处理率(%),细颗粒物(PM2.5)年平均浓度(微克/立方米),空气质量优良天数比例(%),保险业承保额(万元),城镇职工基本养老保险参保人数(人),职工基本医疗保险参保人数(人),失业保险参保人数(人),提供住宿的社会工作机构数(个),养老机构数(个),提供住宿的社会工作机构床位数(张),养老机构床位数(张),
1990,北京市,北京市,110000,110000,东部,东南侧,5008200,438800,2623800,1945600,8.762,52.39,38.848,4883,1035.71,,640.42,1025.6,,,,7.5,,,,,,,90.72,281.6,254.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1189296,,16808,412.667,,616,,,,,,264.62,3.094,0.347,3561200,263837,,,51603,257735,,,,,,,,,,6104513,1013330,,,,,,,,,,,1368357,,,3076643,,,,241,11688,27695,,,740101,832411,665184,,,,,,67,864,3611,,35998,45696,53624,,139646,46.02,99.58,,,,,,120564,,,,,,,,,,23,90,21277,,,,4953,,,50608,7436,3770,3490,,1760000,,,26386,3051,23326,,88400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10595000,,,,,,,,
1991,北京市,北京市,110000,110000,东部,东南侧,5586900,455300,2915300,2216300,8.149,52.181,39.67,5395,1039.5,,648.4,1035.6,,,,3.4,,,,,,,90.8,279.68,263.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321959,,16808,411.333,,618,,,,,,280,3.285,0.343,3680000,278423,,,55705,278778,,,,,,,,,,7271529,1115138,,,,,,,,,,,1462331,,,3577529,,,,724,28488,24482,,,770199,914559,679933,,,,,,67,867,3482,,43760,46698,56443,,136940,47.99,101.33,,,,,,126704,,,,,,,,,,23,90,22054,,,,4970,,,52309,7443,4036,3118,,2893700,,,29094,2983,26099,,119100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12271558,,,,,,,,
1992,北京市,北京市,110000,110000,东部,东南侧,,,,,,,,,1044.89,,656.28,,,,,2.1,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009831,,,,,,,,,,,,802532,,717424,,105507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7556,,,,,,,29807,,,,,,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11898882,,,,,,,,
1993,北京市,北京市,110000,110000,东部,东南侧,,,,,,,,,1051.18,,668.72,,,,,1.5,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16808,406,,625,,,,,,,,,4190000,379416,,,70243,281087,,,,,,,,,,,,,,,,,,,,,,3182214,,,5328636,,18399279,,,,,,,841015,,809859,,130962,,,,66,1139,3190,,,,,,158906,67.93,102.2,,,,,,,,,,,,,,,,23,83,24610,,,,4962,,,53906,4746,,,,,,,3064,,,,,,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37956994,,,,,,,,
1994,北京市,北京市,110000,110000,东部,东南侧,10830377,737773,4998367,5094237,6.812,46.151,47.037,,1061.75,,683.84,,,,,2.1,,,,482,,,5.31,211.73,265.27,1,44,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3070000,6549,16808,402,,628,,,,,,276.1,0.4,0.4,4671000,472000,,,76000,339256,,,,,,,,,,13207344,1833800,,,8742600,5494288,,,,,,,5211383,,,6669756,,11397220,,,,144460,,,,,,,,,,,,,,,35905,60406,60524,,175203,75.77,102.45,,,,,,,,,,,,,,,,23,,25475,,,,,,,53865,7247,4374,,,,,,30825,3048,,,,,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44931425,,,,,,,,
1995,北京市,北京市,110000,110000,东部,东南侧,13948900,809036,6151465,6988399,5.8,44.1,50.1,,1076.98,,698.04,,,,,2.2,,,,482,,,50.16,195.83,236.35,10,41,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3820382,8144,16807,399,1,641,,,12.4,,,,,,3970000,452400,,,80501,,,,,,,,,,,15903646,1928155,810591,,11031958,8424711,,,,,,,4441085,3527730,,8269826,,,,1552,273505,107996,,,,,,,,,,,,,,,36563,62132,60976,,182173,83.41,100.73,,,,,,,,,,,,,,,,23,,25475,,,,,,,54114,10085,5189,,,,,,32078,2974,,,,,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81418387,,,,,,,,
1996,北京市,北京市,110000,110000,东部,东南侧,16157300,840180,6834538,8498740,5.2,42.3,52.6,,1077.7,,709.7,,,,,1.1,,,,660,,,72.62,260.12,327.46,11,39,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4423882,9580,16808,344,0,641,,,9.2,,,,,,4030000,494626,,,78319,,,,,,,,,,,15801389,1225314,668736,,12182973,10450196,,,,,,,4974076,3281659,,9236637,,,,845,133554,124846,,,,,,,,,,,,,,,36387,64043,62048,,189953,86,100,,,,,,,,,,,,,,,,22,,6582,,,,,,,54091,15370,4736,,,,,,12896,4505,,,,,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58652921,,,,,,,,
1997,北京市,北京市,110000,110000,东部,东南侧,18100900,848932,7385167,9866801,4.69,40.8,54.51,,1216.7,,722.69,,,,,0.7,,,,656,,,70.79,257.61,327.09,11,39,50,71,5,175,4,74,,,,,8,8,,,,,,,,,2,33,93,56,14,43,38,33,467,5147632,11018,16808,342,0,724,,,9.57,,,,,,4270000,506785,,,76626,,,,,,,,,,,17070867,1405499,756769,,14107544,11713149,,,,,,,5820764,3303366,,10515342,,25599032,,790,252670,107729,,,,,,,,,,,65,735,2696,,36541,47613,62424,,195842,62.62,97.73,,,,,,,,,,,,,,,,,1110,27214,224,,,,,,54909,10479,4829,4902,,,,,34128,4748,29360,,,,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119445070,,,,,,,,
1998,北京市,北京市,110000,110000,东部,东南侧,20113100,864863,7864222,11384015,4.3,39.1,56.6,,1223.39,,733.64,,,,,6.1,,,,622,,,71.55,225.86,324.79,12,36,52,72,4,150,4,67,,,,,7,9,,,,,,,,,2,33,89,59,14,43,30,31,426,5302906,12451,16808,341,0,728,,,9.8,,,,,,4061262,541057,,,76366,,,,,,,,,,,19102763,1600584,848321,,16603957,13376360,,,,,,,6829237,3773996,,11952118,,28370293,,651,409677,206415,,,,,,,,,,,63,752,2511,,36559,47654,61802,,212984,60.99,91.95,,,,,,,,,,,,,,,,,1111,27215,222,,,,676,66954,51902,12419,4953,6704,,,,,30075,2563,27490,,,,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151134835,,,,,,,,
1999,北京市,北京市,110000,110000,东部,东南侧,21744600,869784,8393416,12459656,4,38.6,57.3,,1249.9,,747.2,,,,,0.1,,,,619,,30336,74.23,214.64,329.69,12,35,53,75,3,143,4,63,,,,,7,11,,,,,,,,,2,33,91,63,14,43,29,30,411,5773301,14054,16808,338,0,744,,,10.23,,,,,,4267718,540577,,,75556,,5225,,,,19999706,12181131,2022787,5795789,,20925565,1830231,858744,,16587369,13770381,,,,,,,6513968,4214591,,13133233,,23393591,,645,181685,178191,,,,,,,,,,,64,754,2352,,34976,48165,61121,,234033,63,84,,,,,,,,,,,,,,,,,329,29340,236,,,,,,52646,20323,9657,9878,,,,,45562,19897,25635,,,,750,,,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164823362,,,,,,,,
